"filename","version","description","category","subcategory1","subcategory2","url","language"
"inventions_and_inventors.csv","1.0","Famous Inventions and Inventors","Science","Inventions","History","https://raw.githubusercontent.com/lucaspellucci/repetio_decks/refs/heads/main/decks/inventions_and_inventors.csv","en"
"inventions_and_inventors_pt.csv","1.0","Invenções e Inventores Famosos","Ciência","Invenções","História","https://raw.githubusercontent.com/lucaspellucci/repetio_decks/refs/heads/main/decks/inventions_and_inventors_pt.csv","pt"
"inventions_and_inventors_es.csv","1.0","Inventos e Inventores Famosos","Ciencia","Inventos","Historia","https://raw.githubusercontent.com/lucaspellucci/repetio_decks/refs/heads/main/decks/inventions_and_inventors_es.csv","es"
"famous_scientists.csv","1.0","Famous Scientists","Science","Scientists","History","https://raw.githubusercontent.com/lucaspellucci/repetio_decks/refs/heads/main/decks/famous_scientists.csv","en"
"famous_scientists_pt.csv","1.0","Cientistas Famosos","Ciência","Cientistas","História","https://raw.githubusercontent.com/lucaspellucci/repetio_decks/refs/heads/main/decks/famous_scientists_pt.csv","pt"
"famous_scientists_es.csv","1.0","Científicos Famosos","Ciencia","Científicos","Historia","https://raw.githubusercontent.com/lucaspellucci/repetio_decks/refs/heads/main/decks/famous_scientists_es.csv","es"
"psychology.csv","1.0","Psychology","Science","Psychology","General","https://raw.githubusercontent.com/lucaspellucci/repetio_decks/refs/heads/main/decks/psychology.csv","en"
"psychology_pt.csv","1.0","Psicologia","Ciência","Psicologia","Geral","https://raw.githubusercontent.com/lucaspellucci/repetio_decks/refs/heads/main/decks/psychology_pt.csv","pt"
"psychology_es.csv","1.0","Psicología","Ciencia","Psicología","General","https://raw.githubusercontent.com/lucaspellucci/repetio_decks/refs/heads/main/decks/psychology_es.csv","es"
"norse_mythology.csv","1.0","Norse Mythology","Culture","Mythology","Norse","https://raw.githubusercontent.com/lucaspellucci/repetio_decks/refs/heads/main/decks/norse_mythology.csv","en"
"norse_mythology_pt.csv","1.0","Mitologia Nórdica","Cultura","Mitologia","Nórdica","https://raw.githubusercontent.com/lucaspellucci/repetio_decks/refs/heads/main/decks/norse_mythology_pt.csv","pt"
"norse_mythology_es.csv","1.0","Mitología Nórdica","Cultura","Mitología","Nórdica","https://raw.githubusercontent.com/lucaspellucci/repetio_decks/refs/heads/main/decks/norse_mythology_es.csv","es"
"architectural_wonders.csv","1.0","Architectural Wonders","Culture","Architecture","Landmarks","https://raw.githubusercontent.com/lucaspellucci/repetio_decks/refs/heads/main/decks/architectural_wonders.csv","en"
"architectural_wonders_pt.csv","1.0","Maravilhas Arquitetônicas","Cultura","Arquitetura","Monumentos","https://raw.githubusercontent.com/lucaspellucci/repetio_decks/refs/heads/main/decks/architectural_wonders_pt.csv","pt"
"architectural_wonders_es.csv","1.0","Maravillas Arquitectónicas","Cultura","Arquitectura","Monumentos","https://raw.githubusercontent.com/lucaspellucci/repetio_decks/refs/heads/main/decks/architectural_wonders_es.csv","es"
"cognitive_biases.csv","1.0","Cognitive Biases","Psychology","Cognitive Science","Biases","https://raw.githubusercontent.com/lucaspellucci/repetio_decks/refs/heads/main/decks/cognitive_biases.csv","en"
"cognitive_biases_pt.csv","1.0","Vieses Cognitivos","Psicologia","Ciência Cognitiva","Vieses","https://raw.githubusercontent.com/lucaspellucci/repetio_decks/refs/heads/main/decks/cognitive_biases_pt.csv","pt"
"cognitive_biases_es.csv","1.0","Sesgos Cognitivos","Psicología","Ciencia Cognitiva","Sesgos","https://raw.githubusercontent.com/lucaspellucci/repetio_decks/refs/heads/main/decks/cognitive_biases_es.csv","es"
"cocktails.csv","1.0","Famous Cocktails","Lifestyle","Drinks","Cocktails","https://raw.githubusercontent.com/lucaspellucci/repetio_decks/refs/heads/main/decks/cocktails.csv","en"
"cocktails_pt.csv","1.0","Coquetéis Famosos","Estilo de Vida","Bebidas","Coquetéis","https://raw.githubusercontent.com/lucaspellucci/repetio_decks/refs/heads/main/decks/cocktails_pt.csv","pt"
"cocktails_es.csv","1.0","Cócteles Famosos","Estilo de Vida","Bebidas","Cócteles","https://raw.githubusercontent.com/lucaspellucci/repetio_decks/refs/heads/main/decks/cocktails_es.csv","es"
"human_body.csv","1.0","Human Body","Science","Anatomy","General","https://raw.githubusercontent.com/lucaspellucci/repetio_decks/refs/heads/main/decks/human_body.csv","en"
"human_body_pt.csv","1.0","Corpo Humano","Ciência","Anatomia","Geral","https://raw.githubusercontent.com/lucaspellucci/repetio_decks/refs/heads/main/decks/human_body_pt.csv","pt"
"human_body_es.csv","1.0","Cuerpo Humano","Ciencia","Anatomía","General","https://raw.githubusercontent.com/lucaspellucci/repetio_decks/refs/heads/main/decks/human_body_es.csv","es"
